RatingID,Symbol,AgencyID,Date,Rating
584,SYK,4,3/3/2016,BBB
585,SYK,1,5/13/2014,AA
586,SYK,4,6/15/2012,A
587,SYK,4,3/20/2013,A
588,SRE,1,12/26/2013,BBB
589,SRE,1,11/6/2015,A
590,SRE,1,4/14/2015,A
591,SRE,2,6/15/2012,BBB
592,SRE,4,10/6/2016,BBB
593,SRE,4,9/19/2012,BBB
594,RRD,1,6/4/2014,BB
595,RRD,1,8/10/2015,B
596,RRD,4,6/15/2012,BB
597,RRD,1,12/8/2014,BB
598,RRD,2,9/24/2012,BB
599,RRD,4,9/14/2016,B
600,TAC,3,9/30/2015,BB
601,TAC,3,9/30/2016,BB
602,MUR,4,2/18/2016,B
603,MUR,1,11/13/2014,A
604,MUR,1,8/23/2013,A
605,MUR,4,6/15/2012,BBB
606,MUR,4,11/27/2012,BBB
607,MUR,2,8/12/2016,BBB
608,CVA,1,5/5/2014,B
609,CVA,1,3/24/2015,B
610,CVA,1,7/31/2015,B
611,CVA,2,11/1/2012,BB
612,ENB,4,3/10/2014,BBB
613,ENB,4,6/15/2012,BBB
614,ENB,4,6/22/2015,BBB
615,ENB,4,11/28/2016,BBB
616,ENB,4,6/28/2013,BBB
617,LH,4,1/21/2015,BBB
618,LH,4,6/15/2012,BBB
619,LH,4,8/20/2012,BBB
620,LH,4,10/29/2013,BBB
621,MGM,4,4/26/2016,B
622,MGM,1,12/4/2013,B
623,MGM,4,6/15/2012,BB
624,MGM,1,8/28/2014,BB
625,MGM,1,6/11/2013,B
626,MGM,3,8/4/2016,BB
627,XEC,1,3/20/2014,A
628,XEC,3,11/13/2015,BBB
629,XEC,1,5/26/2015,BB
630,XEC,4,6/15/2012,BB
631,MCK,1,11/4/2014,BBB
632,MCK,4,3/5/2014,BBB
633,MCK,1,11/11/2015,BBB
634,MCK,4,3/5/2013,BBB
635,SWN,2,3/9/2016,B
636,SWN,4,6/15/2012,BBB
637,SWN,4,1/20/2015,BBB
638,APA,1,9/22/2015,BB
639,APA,4,4/10/2015,BBB
640,APA,1,6/11/2014,A
641,APA,2,6/15/2012,A
642,APA,4,11/28/2012,A
643,CLF,4,10/17/2014,BB
644,CLF,4,2/3/2016,C
645,CLF,4,9/8/2016,CCC
646,CLF,4,6/15/2012,BBB
647,CLF,4,12/6/2012,BBB
648,CSL,4,6/15/2012,BBB
649,CSL,4,11/15/2012,BBB
650,OMI,3,7/31/2015,BBB
651,OMI,3,7/19/2016,BBB
652,OMI,3,9/11/2014,BBB
653,OGE,1,9/2/2014,A
654,OGE,1,8/27/2015,A
655,OGE,4,1/31/2014,A
656,OGE,4,6/15/2012,BBB
657,OGE,4,7/6/2012,BBB
658,WLL,4,2/11/2016,CCC
659,WLL,1,5/5/2015,BB
660,WLL,4,7/28/2016,CCC
661,WLL,4,9/9/2013,BB
662,TROX,4,11/6/2015,B
663,TROX,4,3/5/2015,B
664,ALLE,4,2/8/2016,BBB
665,WU,4,11/18/2013,BBB
666,WU,4,6/15/2012,A
667,WU,4,11/27/2012,BBB
668,EMN,1,11/10/2015,BBB
669,EMN,1,10/31/2013,BBB
670,EMN,1,11/14/2014,BBB
671,EMN,4,6/15/2012,BBB
672,EMN,4,11/16/2016,BBB
673,LAMR,4,9/14/2015,BB
674,WDC,3,11/14/2016,BB
675,WDC,4,3/14/2016,BB
676,FMC,1,11/12/2014,BBB
677,FMC,1,6/10/2014,A
678,FMC,1,12/2/2015,BBB
679,FMC,4,6/15/2012,BBB
680,CVX,4,4/8/2016,AA
681,CVX,1,8/14/2014,AA
682,CVX,1,9/17/2013,AA
683,CVX,4,11/26/2012,AA
684,ON,3,1/27/2016,BB
685,ON,4,6/15/2012,BB
686,ON,3,9/19/2016,BB
687,PVH,1,12/14/2015,BB
688,PVH,1,6/5/2015,BB
689,PVH,1,10/4/2013,BB
690,PVH,3,12/14/2016,BB
691,PVH,1,6/21/2013,BB
692,AMKR,3,5/28/2015,BB
693,AMKR,3,5/15/2013,BB
694,AMKR,3,12/16/2016,BB
695,AMKR,3,5/18/2016,BB
696,AMKR,3,5/8/2014,BB
697,AMKR,3,5/21/2012,BB
698,SPR,3,4/22/2015,BB
699,SPR,3,3/17/2016,BBB
700,SPR,3,3/4/2014,B
701,WMB,3,6/22/2015,BB
702,WMB,3,6/24/2011,BB
703,WMB,3,12/30/2015,BB
704,WMB,3,7/1/2016,BB
705,WMB,3,2/16/2012,BB
706,ATKR,3,12/7/2016,B
707,RCII,3,10/26/2011,BB
708,RCII,3,6/3/2014,B
709,RCII,3,6/3/2015,B
710,RCII,3,11/23/2016,B
711,RCII,3,6/17/2016,B
712,JBLU,4,7/15/2015,BBB
713,JBLU,1,1/8/2015,BB
714,JBLU,1,12/24/2013,BB
715,ADM,4,6/15/2012,A
716,ADM,4,8/8/2016,A
717,ADM,1,5/27/2014,A
718,ADM,1,9/21/2015,A
